Stock,MAE,MSE,MAPE
AMZN,0.13560263322546165,0.026644592221357514,16.302895839153077
CRWD,0.06715363633498328,0.007743289056118952,8.972501415880492
INTC,0.05629709670951234,0.00499755297633798,136236115.65721297
KLAC,0.044021786242285546,0.0032915805271389715,7.229204720054527
TEAM,0.054500433694027114,0.004869970099299528,9.898911913292743
TSLA,0.11835136442366831,0.020955651342588397,20.594972675257942
VRTX,0.07410374034192266,0.008087724347508745,11.213442178948927
ABNB,0.05855696221510784,0.006067468885179659,23.56330225840746
CDNS,0.05739053389707449,0.005079905429643495,10.455485989570949
ISRG,0.1134416201717268,0.017633855676482353,14.846543291920378
BKNG,0.07172262876000306,0.00749334197298189,8.9073320482795
NXPI,0.06340354683749443,0.0077924412603626375,2702049780.4773736
META,0.07185040529580079,0.007059022568932545,9.385675763264198
ZS,0.053572399971962774,0.0049306648581350036,8.158002460100217
FTNT,0.05478023140294414,0.005204794540879794,7.189901009442427
LRCX,0.088843948747539,0.014827401658217118,13.423857720157113
TTWO,0.06343885256271738,0.006376358947928517,7.961386877794271
MRVL,0.14134069970431606,0.026152525376809774,23.385788623400966
GOOG,0.04922818203819708,0.004258304905955471,6.786590339250324
NVDA,0.047475247962051575,0.00330104656152483,5.745622184366481
PDD,0.05196028375580889,0.004155841893031498,9.757239401192432
ANSS,0.06452339950123478,0.006206977111993135,11.38597540330004
PANW,0.08575907725446107,0.01808999340484291,18.488533617427382
EBAY,0.053335646308571544,0.005582142847751301,6.490369523266708
WDAY,0.04395141282991926,0.003318239925174139,7.774896683103469
AVGO,0.06924981386056689,0.0073191197802537225,8.255833291007551
AMAT,0.03934749744327973,0.00246636710948597,13.149429408608556
GOOGL,0.07061219149204656,0.008882348767743107,10.138842350775004
AMD,0.03599780862140127,0.0024311018259639363,1664396635.477637
IDXX,0.04362618506761609,0.003240252317754181,1068472876.9170814
XEL,0.0994981858133856,0.014358859021089583,12.309989066636035
DXCM,0.054184528524154736,0.00419439169513786,1080920043.2537024
MU,0.040276624578896573,0.0031160356910871273,17.45314091331308
ADBE,0.1804004088999139,0.052698480523601765,141.65981239229706
SNPS,0.10985412411284282,0.01582693263909349,36.41284816889366
MELI,0.06212550625513409,0.005867826523742794,9.00422371039108
ASML,0.03608551923134819,0.0021951945402722906,17.103474501184305
ODFL,0.08415489873529423,0.01091245155663948,15.179867748006492
QCOM,0.02483765751837863,0.0011878670748477272,6.582556175196896
