Stock,Predicted_Close,Previous_Close,Expected_Return
ADBE,490.65478506830004,352.47,0.3920469403588958
NXPI,205.4821249376,168.79,0.2173832865548907
LRCX,81.72570425735,67.47999999999999,0.21111002159676964
MU,81.5458085298,69.54999999999998,0.172477477063983
AMD,108.62432342400001,93.4,0.16300132145610283
DXCM,74.414819084,66.14,0.12511066047777442
SNPS,473.74336552259996,421.21,0.12472012896797317
META,608.9829203359999,543.57,0.12033946011737189
MRVL,58.8745354035,53.39,0.10272589255478548
AMAT,158.3359236618,144.94000000000003,0.09242392480888621
ISRG,528.0510253840001,493.6,0.06979543230145888
KLAC,708.1507281414,670.22,0.0565944438265047
ODFL,159.39052276945,152.23,0.047037527224922895
EBAY,66.89801553400001,64.58,0.0358937060080522
ASML,688.3227254835001,668.81,0.029175289668964526
TSLA,259.451913123,252.31,0.028306104090206473
GOOG,163.4037216956,159.4,0.0251174510388959
ABNB,117.13167690079999,114.54,0.022626828189278695
TTWO,215.88445530599998,212.07,0.01798677467817223
AMZN,187.70142552200002,184.87000000000003,0.01531576525125758
QCOM,139.844261361,139.25,0.004267586075404007
TEAM,198.61285391809997,198.37,0.0012242472052224017
IDXX,390.27819441290006,390.94,-0.001692857182943506
ANSS,295.764050515,296.31,-0.0018424942965137665
MELI,1981.6021905759999,1996.95,-0.007685625290568197
GOOGL,155.713874516,157.14,-0.009075508998345312
VRTX,478.27435928,484.2200000000001,-0.01227880037999274
BKNG,4516.940315115,4586.53,-0.015172621760895443
CRWD,369.76583743,377.9,-0.02152464294786981
CDNS,253.35562448200002,259.47,-0.02356486498631827
PDD,88.018641018,90.5,-0.027418331292817715
XEL,67.37946118400001,69.555,-0.0312779644310258
WDAY,219.00708781439997,226.51,-0.033123977685753495
ZS,187.46747102420002,198.08,-0.053576983924676844
FTNT,91.04949420999999,97.73,-0.06835675626726709
AVGO,165.94359444819997,181.94,-0.08792132324832376
PANW,151.0713821585,168.34,-0.10258178591837948
INTC,17.53523037741,19.74,-0.11169045707142856
NVDA,96.06272112020001,110.93,-0.13402396898764984
